,tournament_id,group_id,tournament_type,tournament_progression,tournament_name,tournament_start,tournament_end
0,60063,15028,1,Standard,TILT Season 7: Playoffs,2023-07-25,2023-07-25
1,60062,14942,1,Standard,WARRBL Season 7 Consolation PLAYOOFS,2023-07-25,2023-07-25
2,60044,2294,1,Standard,Royal Rookie Rumble 551,2023-07-18,2023-07-18
3,60043,15084,1,Standard,The Dead Rubber X,2023-07-18,2023-07-18
4,60042,15084,1,Standard,Secret Smack X,2023-07-18,2023-07-18
5,60039,16228,1,Standard,Playoffs Season 2,2023-07-17,2023-07-17
6,60036,15448,2,Standard,BTSX BDL III: Fumbblrooski,2023-07-16,2023-07-16
7,60034,14720,1,Standard,[SL20] Old World Rookie Rumble #16,2023-07-16,2023-07-16
8,60031,16542,3,Standard,Season 1,2023-07-14,2023-07-14
9,60018,13755,3,Standard,Steel Force Cup 24,2023-07-12,2023-07-12
10,60016,16230,1,Standard,Playoffs,2023-07-12,2023-07-12
11,60013,14720,1,Standard,[SL20] Old World Rookie Rumble #15,2023-07-11,2023-07-11
12,60010,10863,1,Standard,DACH BotR,2023-07-11,2023-07-11
13,60009,10863,1,Standard,DACH PO Viertelfinale ,2023-07-11,2023-07-11
14,60008,13259,2,Standard,The Incredibly Busy Trophy,2023-07-10,2023-07-10
15,60006,10455,2,Standard,"CIBBL - Y11, Spring - Youngbloods XXXV",2023-07-10,2023-07-10
16,60005,15748,2,Standard,GRBBL S8: Regular Season,2023-07-08,2023-07-08
17,60003,14720,1,Standard,[SL20] Old World Rookie Rumble #14,2023-07-06,2023-07-06
18,60002,2299,1,Standard,Grotty Little Tournament XVII,2023-07-06,2023-07-06
19,60001,15028,2,Standard,TILT Season 7: Division B,2023-07-06,2023-07-06
20,60000,15028,2,Standard,TILT Season 7: Division A,2023-07-06,2023-07-06
21,59999,7922,5,Standard,FUMBBL Brawl XI - Mid,2023-07-05,2023-07-05
22,59998,16019,3,Standard,Open Pool 4,2023-07-05,2023-07-05
23,59997,16019,4,Standard,WC Swiss Tournament 2,2023-07-05,2023-07-05
24,59996,16527,2,Standard,Liga Huitlacoche,2023-07-05,2023-07-05
25,59992,2294,1,Standard,Royal Rookie Rumble 550,2023-07-04,2023-07-04
26,59987,15449,3,Standard,Rookie Bowl Vesele Lito 4,2023-07-02,2023-07-02
27,59985,14726,1,Standard,FA Cup - Season π,2023-07-01,2023-07-01
28,59984,15259,3,Standard,Secondo torneo di prova Mondiale,2023-06-30,2023-06-30
29,59981,12183,1,Standard,Liga por el puñetero Coronavirus VIII - Play Offs,2023-06-29,2023-06-29
30,59973,15287,2,Standard,EFFC Summer '23,2023-06-29,2023-06-29
31,59972,11676,5,Standard,XXXII LEGA GLADIO - Play Off,2023-06-29,2023-06-29
32,59970,15469,1,Standard,BCS National Championship Playoff - NCBB Season 42,2023-06-29,2023-06-29
33,59969,15469,1,Standard,Uluthan's Rose Bowl - NCBB Season 42,2023-06-29,2023-06-29
34,59968,15469,1,Standard,DeadEx Orange Bowl - NCBB Season 42,2023-06-29,2023-06-29
35,59967,15469,1,Standard,Tossit-os Fiesta Bowl - NCBB Season 42,2023-06-29,2023-06-29
36,59966,15469,1,Standard,Kroxorade Cotton Bowl Classic - NCBB Season 42,2023-06-29,2023-06-29
37,59965,15469,1,Standard,Killer Lite Bowl - NCBB Season 42,2023-06-29,2023-06-29
38,59963,15469,1,Standard,Penultimate Chumpionshit McNurgles Series SemiFail,2023-06-29,2023-06-29
39,59962,15469,1,Standard,Penultimate Chumpionshit McNurgles Series SemiFail,2023-06-29,2023-06-29
40,59961,10738,1,Standard,Season IX Exhibition,2023-06-29,2023-06-29
41,59959,10738,1,Standard,Season IX Playoffs,2023-06-29,2023-06-29
42,59955,7922,5,Standard,FUMBBL Brawl X - Lo,2023-06-28,2023-06-28
43,59954,15449,1,Standard,Rose El Champion Final,2023-06-28,2023-06-28
44,59951,15917,2,Standard,Online League,2023-06-27,2023-06-27
45,59948,16024,2,Standard,Train WC,2023-06-27,2023-06-27
46,59946,16024,2,Standard,Train WC 2,2023-06-27,2023-06-27
47,59942,16162,2,Standard,Group 19 WC Alicante training,2023-06-26,2023-06-26
48,59941,14385,4,Standard,Florence Fumbbl Fisticuff 7 TSG FINALE,2023-06-26,2023-06-26
49,59940,647,5,Standard,SWL Bob Borc Cup III,2023-06-26,2023-06-26
50,59939,647,4,Standard,SWL Bob Borc Cup III Swiss,2023-06-26,2023-06-26
51,59938,2294,1,Standard,Royal Rookie Rumble 549,2023-06-25,2023-06-25
52,59935,16007,1,Standard,Atletico East Championship,2023-06-25,2023-06-25
53,59934,16007,1,Standard,Real West Championship,2023-06-25,2023-06-25
54,59932,10455,2,Standard,"CIBBL - Y11, Spring - Chaos Wastes (1)",2023-06-25,2023-06-25
55,59931,10455,2,Standard,"CIBBL - Y11, Spring - Chaos Wastes (2)",2023-06-25,2023-06-25
56,59930,10455,2,Standard,"CIBBL - Y11, Spring - Fabled Territories (1)",2023-06-25,2023-06-25
57,59929,10455,2,Standard,"CIBBL - Y11, Spring - Fabled Territories (2)",2023-06-25,2023-06-25
58,59926,10455,2,Standard,"CIBBL - Y11, Spring - Far East (1)",2023-06-25,2023-06-25
59,59925,10455,2,Standard,"CIBBL - Y11, Spring - Far East (2)",2023-06-25,2023-06-25
60,59924,10455,2,Standard,"CIBBL - Y11, Spring - Imperial Dominion (1)",2023-06-25,2023-06-25
61,59923,10455,2,Standard,"CIBBL - Y11, Spring - Scorched Lands (1)",2023-06-25,2023-06-25
62,59922,10455,2,Standard,"CIBBL - Y11, Spring - Scorched Lands (2)",2023-06-25,2023-06-25
63,59921,10455,2,Standard,"CIBBL - Y11, Spring - Scorched Lands (3)",2023-06-25,2023-06-25
64,59920,10455,2,Standard,"CIBBL - Y11, Spring - Subterranean Paths (1)",2023-06-25,2023-06-25
65,59919,10455,2,Standard,"CIBBL - Y11, Spring - Western Isles (1)",2023-06-25,2023-06-25
66,59918,14741,2,Standard,DIBBL 34: Ashenhall Owls Division,2023-06-25,2023-06-25
67,59917,14741,2,Standard,DIBBL 34: Crouching Saurus Hidden Skink Division,2023-06-25,2023-06-25
68,59916,14741,2,Standard,DIBBL 34: Freezy Trees Division,2023-06-25,2023-06-25
69,59915,12329,1,Standard,Oslo BBL ROOKIE FINAL,2023-06-24,2023-06-24
70,59913,12329,1,Standard,Oslo BBL TEST MATCH,2023-06-23,2023-06-23
71,59912,15084,2,Standard,Over-Nite Sensation,2023-06-22,2023-06-22
72,59910,15084,2,Standard,Läther,2023-06-22,2023-06-22
73,59909,16348,1,Standard,All Star Bowl III,2023-06-21,2023-06-21
74,59908,16348,1,Standard,All Star Bowl II,2023-06-21,2023-06-21
75,59907,7922,5,Standard,FUMBBL Brawl IX - Mid,2023-06-21,2023-06-21
76,59906,15748,1,Standard,GRBBL S7: Play-Off Season,2023-06-21,2023-06-21
77,59905,647,3,Standard,SWL Borc3 QPool,2023-06-21,2023-06-21
78,59904,14985,2,Standard,Season 3 - Spiked Bench Challenge Group Silver,2023-06-20,2023-06-20
79,59903,14985,2,Standard,Season 3 - Spiked Bench Challenge Group Gold,2023-06-20,2023-06-20
80,59899,15104,4,Standard,Tattered Prince Open,2023-06-19,2023-06-19
